"activity_id","deal_id","is_completed","user_id","activity_type","activity_name","user_name","user_email","modified_ts","due_date"
100063,415914,1,1745,meeting,Sales Call 1,Paul Williams,wchase@example.com,2024-09-21 19:58:22.580,2024-08-09 17:05:05.000
100232,287740,1,347,sc_2,Sales Call 2,Erin Hawkins,tina63@example.com,2024-04-29 08:27:50.459,2024-01-18 09:15:57.000
100546,444192,1,1672,after_close_call,After Close Call,Leslie Potter,ohernandez@example.com,2024-05-03 17:32:52.867,2024-06-22 17:43:06.000
100624,913706,1,25,sc_2,Sales Call 2,Theresa Jenkins,aimeesmith@example.net,2024-02-15 09:03:33.082,2024-01-27 21:37:15.000
100647,294234,1,1564,meeting,Sales Call 1,Brian Hall,njohnson@example.org,2024-02-23 17:25:25.311,2024-08-12 07:31:40.000
101373,718488,1,1156,sc_2,Sales Call 2,Kathy Davis,stevenavila@example.com,2024-03-13 22:39:28.290,2024-01-27 22:23:22.000
101517,171848,1,1741,sc_2,Sales Call 2,Tanner Anderson,richardsbrian@example.net,2024-09-10 01:18:25.503,2024-02-29 20:37:51.000
102081,182466,1,281,sc_2,Sales Call 2,Shaun James,joanncastro@example.org,2024-06-01 12:37:14.651,2024-03-13 03:11:32.000
102576,767082,1,150,sc_2,Sales Call 2,Lindsay Wolfe,xanderson@example.com,2024-03-19 18:22:32.553,2024-06-15 13:11:46.000
102788,202822,1,1672,after_close_call,After Close Call,Leslie Potter,ohernandez@example.com,2024-05-03 17:32:52.867,2024-01-10 23:46:13.000
103247,923108,1,1234,sc_2,Sales Call 2,Jessica Jackson,lcarr@example.com,2024-01-29 07:53:07.679,2024-02-02 09:29:24.000
103263,320308,1,852,sc_2,Sales Call 2,Melinda Kane,richardgreene@example.org,2024-09-15 03:32:29.562,2024-06-16 01:34:59.000
104544,379754,1,1681,sc_2,Sales Call 2,Taylor Clark,mnielsen@example.org,2024-01-04 13:22:54.662,2024-05-20 22:56:35.000
105709,575805,1,1407,after_close_call,After Close Call,Valerie Lam,stevencosta@example.com,2024-03-13 02:17:31.193,2024-01-13 11:01:32.000
105870,911094,1,366,sc_2,Sales Call 2,Terri Wallace,andrew19@example.net,2024-06-28 02:17:37.242,2024-07-23 11:44:32.000
107340,331765,1,1285,sc_2,Sales Call 2,Megan Robinson,terri47@example.org,2024-04-16 10:39:53.476,2024-02-13 03:52:57.000
107588,969233,1,727,sc_2,Sales Call 2,Maria Ross,james74@example.net,2024-10-19 04:11:09.737,2024-06-03 09:24:16.000
107961,355854,1,1621,meeting,Sales Call 1,Russell Stewart,brittanyjames@example.org,2024-09-13 01:03:44.976,2024-07-25 05:43:36.000
107966,950107,1,430,after_close_call,After Close Call,Matthew Thompson,mgibbs@example.org,2024-07-03 09:58:15.722,2024-01-05 02:35:42.000
108423,203356,1,630,after_close_call,After Close Call,Megan Thomas DDS,brownshelia@example.net,2024-06-14 05:49:51.227,2024-08-25 17:40:41.000
108600,935862,1,220,after_close_call,After Close Call,Mr. Perry Peterson,benjaminramos@example.net,2024-05-11 08:07:05.221,2024-01-27 08:17:13.000
110692,189017,1,876,meeting,Sales Call 1,Teresa Romero,sarah86@example.net,2024-02-26 20:27:14.346,2024-08-31 19:24:37.000
111270,516179,1,1229,sc_2,Sales Call 2,Jacqueline Lambert,linda34@example.com,2024-10-08 08:12:51.422,2024-08-05 22:30:15.000
111885,952127,1,866,after_close_call,After Close Call,Joseph Carson,james05@example.net,2024-07-02 01:11:22.604,2024-09-07 12:19:56.000
112126,335440,1,270,sc_2,Sales Call 2,Chad Barron,ndavis@example.org,2024-07-09 19:08:47.821,2024-08-05 07:25:57.000
112491,942450,1,185,sc_2,Sales Call 2,John Mclean MD,joseph33@example.org,2024-02-24 08:39:15.910,2024-06-24 19:05:02.000
112746,379800,1,171,after_close_call,After Close Call,Beth Arellano,sean06@example.com,2024-09-28 10:48:27.871,2024-03-01 02:43:12.000
113176,128765,1,1556,meeting,Sales Call 1,Paul Jenkins,smithwilliam@example.net,2024-10-07 02:49:36.512,2024-04-25 22:34:06.000
113439,329960,1,1752,meeting,Sales Call 1,Michael Adams,ibarrachristopher@example.net,2024-03-09 13:33:50.847,2024-04-03 20:18:47.000
115943,391874,1,716,after_close_call,After Close Call,Tiffany Herrera,sherylpowell@example.net,2024-10-08 19:05:22.182,2024-01-05 16:14:23.000
116081,168205,1,1562,sc_2,Sales Call 2,Tracy Owens,leesolomon@example.com,2024-05-02 05:56:30.519,2024-06-04 01:16:53.000
116452,940390,1,738,after_close_call,After Close Call,Robert Wilkinson,xschultz@example.net,2024-08-29 14:46:11.469,2024-02-21 08:03:10.000
117675,251582,1,960,meeting,Sales Call 1,Peter Rice,snash@example.com,2024-05-10 01:27:27.113,2024-08-21 21:12:03.000
118395,183470,1,1082,after_close_call,After Close Call,Angela Anderson,hawkinsbrandy@example.org,2024-09-18 20:54:58.956,2024-05-23 15:43:07.000
118660,227566,1,1440,sc_2,Sales Call 2,William Aguilar,karen75@example.net,2024-06-18 00:11:16.523,2024-08-10 03:28:49.000
118785,345552,1,1360,sc_2,Sales Call 2,Robert Gallagher,michael38@example.net,2024-10-04 03:44:12.450,2024-03-02 18:52:02.000
118892,320530,1,900,sc_2,Sales Call 2,Dana Warren,mary59@example.net,2024-07-03 20:17:45.011,2024-08-01 02:28:45.000
119126,867580,1,982,meeting,Sales Call 1,Ashley Brooks,joannamendez@example.org,2024-03-17 16:25:20.379,2024-07-28 04:05:31.000
120046,256161,1,1296,sc_2,Sales Call 2,Jerry Goodman,jonathan93@example.org,2024-05-10 01:18:05.803,2024-07-18 02:19:40.000
120713,941400,1,1758,meeting,Sales Call 1,Travis Hall,amberaguilar@example.org,2024-01-27 00:49:05.698,2024-06-02 02:55:28.000
121409,425541,1,183,meeting,Sales Call 1,Elizabeth Collier,katherinethompson@example.net,2024-10-02 10:27:36.959,2024-07-24 06:11:06.000
121769,139252,1,1208,meeting,Sales Call 1,William Grant,kmiller@example.com,2024-07-16 11:59:55.866,2024-01-03 19:50:25.000
122100,977991,1,1008,meeting,Sales Call 1,Brittany Lowe,hudsonjessica@example.net,2024-02-08 20:35:18.820,2024-01-13 15:14:58.000
122145,824739,1,535,meeting,Sales Call 1,Barry Norman,cartertrevor@example.org,2024-07-17 08:06:14.507,2024-08-02 21:13:39.000
123004,704695,1,129,meeting,Sales Call 1,Timothy Walters,kimberlywilkerson@example.com,2024-10-03 02:37:00.795,2024-08-17 04:27:05.000
123098,751492,1,1390,meeting,Sales Call 1,Anna Day,michaelnoble@example.net,2024-06-12 20:21:35.593,2024-05-02 11:03:50.000
123336,631249,1,654,sc_2,Sales Call 2,Jessica Smith,eblevins@example.org,2024-02-21 21:35:20.831,2024-02-20 07:07:25.000
123898,112214,1,917,sc_2,Sales Call 2,Stephanie Swanson,peterskimberly@example.net,2024-01-08 03:00:35.961,2024-02-29 12:00:41.000
124006,276869,1,1680,sc_2,Sales Call 2,Rebecca Patel,zamorajoshua@example.org,2024-01-25 08:58:54.657,2024-01-30 17:01:49.000
124089,329003,1,1123,sc_2,Sales Call 2,Mary Wallace,james77@example.com,2024-10-21 01:36:14.928,2024-08-13 15:12:46.000
124164,455763,1,299,after_close_call,After Close Call,Stephanie Grant,tsmith@example.org,2024-06-12 22:10:51.175,2024-02-27 17:10:46.000
